sensor,n_points,centroid_lat,centroid_lon,max_brightness,sum_frp,max_frp,earliest_detection,latest_detection,duration_hours,centroid_area_label,dataset,region,month
viirs,7,49.37709285714285,23.50156428571429,,82.46000000000001,13.68,2023-01-02 11:00:00,2023-01-02 11:49:00,0.8166666666666667,L'viv,clstrd_20221001_180d_ukraine,L'viv,2023-01-01
viirs,6,46.61069666666666,35.09014166666667,,82.19,26.47,2023-02-11 10:09:00,2023-02-11 11:50:00,1.6833333333333331,Zaporizhia,clstrd_20221001_180d_ukraine,Zaporizhia,2023-02-01
viirs,7,36.35722,33.82869,,82.12,14.37,2025-07-25 22:46:00,2025-07-26 00:26:00,1.6666666666666667,Mersin,clstrd_20250625_35d_turkey,Mersin,2025-07-01
viirs,3,49.81413333333333,32.243766666666666,,81.65,29.67,2023-03-27 10:34:00,2023-03-27 11:26:00,0.8666666666666667,Cherkasy,clstrd_20221001_180d_ukraine,Cherkasy,2023-03-01
modis,2,47.16985,37.0231,342.2,81.1,50.6,2023-03-05 10:33:00,2023-03-05 10:33:00,0.0,Donets'k,clstrd_20221001_180d_ukraine,Donets'k,2023-03-01
viirs,4,37.1328225,40.503775,,80.61,36.54,2025-07-03 09:20:00,2025-07-03 09:20:00,0.0,Mardin,clstrd_20250625_35d_turkey,Mardin,2025-07-01
viirs,3,48.41609666666667,32.720333333333336,,79.73,34.35,2023-03-05 11:38:00,2023-03-05 11:38:00,0.0,Kirovohrad,clstrd_20221001_180d_ukraine,Kirovohrad,2023-03-01
viirs,8,50.28519625,32.1121775,,79.21000000000001,13.76,2023-03-20 11:05:00,2023-03-20 11:58:00,0.8833333333333333,Kiev,clstrd_20221001_180d_ukraine,Kiev,2023-03-01
viirs,3,47.97564,35.47996,,78.32,42.04,2022-10-15 09:49:00,2022-10-15 09:49:00,0.0,Zaporizhia,clstrd_20221001_180d_ukraine,Zaporizhia,2022-10-01
modis,2,37.87225,32.56115,336.1,78.0,42.1,2025-06-25 11:42:00,2025-06-25 11:42:00,0.0,Konya,clstrd_20250625_35d_turkey,Konya,2025-06-01
viirs,9,45.81648777777778,33.49181,,77.48,9.68,2023-03-09 09:30:00,2023-03-09 11:10:00,1.6666666666666667,Crimea,clstrd_20221001_180d_ukraine,Crimea,2023-03-01
viirs,2,37.538875,28.13501,,76.82,57.25,2025-07-02 10:57:00,2025-07-02 10:57:00,0.0,Aydin,clstrd_20250625_35d_turkey,Aydin,2025-07-01
viirs,7,49.15094285714285,33.299484285714286,,75.78,14.03,2023-03-19 09:43:00,2023-03-19 11:24:00,1.6833333333333331,Poltava,clstrd_20221001_180d_ukraine,Poltava,2023-03-01
modis,2,40.19595,26.46715,310.3,73.2,39.0,2025-07-14 18:24:00,2025-07-14 18:24:00,0.0,Çanakkale,clstrd_20250625_35d_turkey,Çanakkale,2025-07-01
viirs,3,51.143536666666655,30.908096666666665,,72.64,33.92,2023-03-19 10:36:00,2023-03-19 11:24:00,0.8,Chernihiv,clstrd_20221001_180d_ukraine,Chernihiv,2023-03-01
viirs,11,50.18435454545455,32.43320727272727,,71.85,9.57,2022-10-31 09:01:00,2022-10-31 11:30:00,2.4833333333333334,Poltava,clstrd_20221001_180d_ukraine,Poltava,2022-10-01
viirs,5,39.857308,32.536304,,71.35,28.48,2025-07-02 11:20:00,2025-07-02 11:20:00,0.0,Ankara,clstrd_20250625_35d_turkey,Ankara,2025-07-01
viirs,5,49.627244,23.873976,,71.12,16.11,2023-03-20 11:05:00,2023-03-20 11:57:00,0.8666666666666667,L'viv,clstrd_20221001_180d_ukraine,L'viv,2023-03-01
viirs,5,41.85539399999999,26.719314,,70.69,29.02,2025-06-27 10:52:00,2025-06-27 11:14:00,0.3666666666666666,Edirne,clstrd_20250625_35d_turkey,Edirne,2025-06-01
viirs,9,48.38045555555555,36.26203222222222,,70.33,9.62,2022-10-08 09:31:00,2022-10-08 11:12:00,1.6833333333333331,Dnipropetrovs'k,clstrd_20221001_180d_ukraine,Dnipropetrovs'k,2022-10-01
viirs,5,49.480076,31.458622,,70.16,29.9,2023-03-14 09:37:00,2023-03-14 09:37:00,0.0,Cherkasy,clstrd_20221001_180d_ukraine,Cherkasy,2023-03-01
viirs,6,49.769531666666666,31.75596333333333,,67.84,16.01,2023-03-02 09:14:00,2023-03-02 10:54:00,1.6666666666666667,Cherkasy,clstrd_20221001_180d_ukraine,Cherkasy,2023-03-01
